"","rep","dtype","optim_method","optim_model","dfe","tsigma","masked","file","tsigma_estim"
"61",1,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",31884.86884177
"62",2,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",38784.5245192384
"63",3,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",34032.3946937745
"64",4,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",34530.0405019679
"65",5,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",33603.8004281667
"66",6,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",32315.1126111363
"67",7,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",36170.3202184067
"68",8,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",33056.8883490777
"69",9,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",34365.7646485183
"70",10,"s","BW","OT","0",40000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_.csv",32648.8109247625
"71",1,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",45278.6150439108
"72",2,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",55450.7083751888
"73",3,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",48555.4374649686
"74",4,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",42612.7527146706
"75",5,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",47902.3526087936
"76",6,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",39948.5167306581
"77",7,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",51689.7054245346
"78",8,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",46832.3426084017
"79",9,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",42659.0515776883
"80",10,"s","BW","OT","0",40000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__40000_msak_mhs_masked_.csv",45924.8249553305
"81",1,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",11666.8610301935
"82",2,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",12027.4472214556
"83",3,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",10549.6157579679
"84",4,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",9059.21803526887
"85",5,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",12754.0705656604
"86",6,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",10528.628285198
"87",7,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",8908.41449792771
"88",8,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",11471.5049589834
"89",9,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",13787.3833635704
"90",10,"s","BW","OT","1",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_.csv",12667.5001000825
"91",1,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",12859.4150342558
"92",2,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",13194.8820925103
"93",3,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",11619.4431439894
"94",4,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",13667.9163766551
"95",5,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",13846.2049401403
"96",6,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",11560.9899427334
"97",7,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",13545.2214174155
"98",8,"s","BW","OT","1",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_1__tsigma__10000_msak_mhs_masked_.csv",12544.1569396315
